Place_Name,Rating_Score,city,Rating_Reviews,Price_EGP,Price_USD,Address,Link,Image,Room_Info
Agora Cairo Hotel Downtown,9.7,Cairo,23.0,6313.0,127.54,Cairo,https://www.booking.com/hotel/eg/agora-cairo-downtown.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gzWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCzr6B0gbAAgHSAiRkZmM1OGI5Mi1kOTY1LTRlNzAtYTE1YS1hN2RkNDEzZjM2ZjfYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-06-28&checkout=2026-06-29&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=3bcba66793d00522&srepoch=1782603620&all_sr_blocks=1667324501_438550911_2_1_0&highlighted_blocks=1667324501_438550911_2_1_0&matching_block_id=1667324501_438550911_2_1_0&sr_pri_blocks=1667324501_438550911_2_1_0__12750&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/883184669.webp?k=f531adf414739288be24b4ef5bd7b4eb72bbb150b8648e13ed26606e496d413d&o=,CairoShow on map | 0.7 km from downtown | Subway Access
Via Cairo hotel,,Cairo,10.0,4762.0,96.2,Cairo,https://www.booking.com/hotel/eg/via-cairo.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gzWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCzr6B0gbAAgHSAiRkZmM1OGI5Mi1kOTY1LTRlNzAtYTE1YS1hN2RkNDEzZjM2ZjfYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-06-28&checkout=2026-06-29&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=3bcba66793d00522&srepoch=1782603620&all_sr_blocks=1672982002_439059746_2_1_0_1450843&highlighted_blocks=1672982002_439059746_2_1_0_1450843&matching_block_id=1672982002_439059746_2_1_0_1450843&sr_pri_blocks=1672982002_439059746_2_1_0_1450843_9619&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/887804693.webp?k=5cb0dc76aa87fc5cc7d0bc711fe320c5b813459a2191757d3bd30afee11877af&o=,Featured
Voyage On The Spot,9.7,Cairo,85.0,695.0,14.04,"Giza, Cairo",https://www.booking.com/hotel/eg/voyage-on-the-spot.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gzWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCzr6B0gbAAgHSAiRkZmM1OGI5Mi1kOTY1LTRlNzAtYTE1YS1hN2RkNDEzZjM2ZjfYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-06-28&checkout=2026-06-29&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=3bcba66793d00522&srepoch=1782603620&all_sr_blocks=1574266807_428487328_2_2_0&highlighted_blocks=1574266807_428487328_2_2_0&matching_block_id=1574266807_428487328_2_2_0&sr_pri_blocks=1574266807_428487328_2_2_0__1403&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/846127538.webp?k=b1f6098999d9730152f1009a3935e0c0328782b57e8a6388f8086d5135ef1af7&o=,"Giza, CairoShow on map | 11.6 km from downtown"
Atlantis pirámides view Inn,9.1,Cairo,46.0,441.0,8.91,"Giza, Cairo",https://www.booking.com/hotel/eg/ola-pyramids-view-in.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gzWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCzr6B0gbAAgHSAiRkZmM1OGI5Mi1kOTY1LTRlNzAtYTE1YS1hN2RkNDEzZjM2ZjfYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-06-28&checkout=2026-06-29&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=3bcba66793d00522&srepoch=1782603620&all_sr_blocks=1555785401_426712320_2_1_0&highlighted_blocks=1555785401_426712320_2_1_0&matching_block_id=1555785401_426712320_2_1_0&sr_pri_blocks=1555785401_426712320_2_1_0__891&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/804327253.webp?k=527ca6a4df50419b6a3bd4a0facad5aae992ddccd4ca2796a8e8f673ce22168e&o=,Featured
The Location Cairo Downtown Hotel,6.9,Cairo,47.0,1069.0,21.6,Cairo,https://www.booking.com/hotel/eg/cairo-downtown-bdyn.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gzWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCzr6B0gbAAgHSAiRkZmM1OGI5Mi1kOTY1LTRlNzAtYTE1YS1hN2RkNDEzZjM2ZjfYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-06-28&checkout=2026-06-29&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=3bcba66793d00522&srepoch=1782603620&all_sr_blocks=1636363001_434022529_2_1_0&highlighted_blocks=1636363001_434022529_2_1_0&matching_block_id=1636363001_434022529_2_1_0&sr_pri_blocks=1636363001_434022529_2_1_0__2160&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/864852157.webp?k=c2117c32692b9ae8322552284570710bfa9b8d8bc981d982a15a77b4c36a67df&o=,Featured
Mina Al Salam Hotel Cairo,7.4,Cairo,9.0,1010.0,20.4,Cairo,https://www.booking.com/hotel/eg/el.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gzWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCzr6B0gbAAgHSAiRkZmM1OGI5Mi1kOTY1LTRlNzAtYTE1YS1hN2RkNDEzZjM2ZjfYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-06-28&checkout=2026-06-29&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=3bcba66793d00522&srepoch=1782603620&all_sr_blocks=1661842002_438065517_2_1_0&highlighted_blocks=1661842002_438065517_2_1_0&matching_block_id=1661842002_438065517_2_1_0&sr_pri_blocks=1661842002_438065517_2_1_0__2040&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/881937463.webp?k=f9384d92ba639f2713db9622eff8418ab1f23fb22d49c75b7fddf42d4dc1db5b&o=,Featured
Panorama Ramsis Hotel & Cafe,8.1,Cairo,431.0,1384.0,27.96,Cairo,https://www.booking.com/hotel/eg/panorama-ramsis-cairo.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gzWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCzr6B0gbAAgHSAiRkZmM1OGI5Mi1kOTY1LTRlNzAtYTE1YS1hN2RkNDEzZjM2ZjfYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-06-28&checkout=2026-06-29&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=3bcba66793d00522&srepoch=1782603620&all_sr_blocks=494246601_419972775_2_41_0&highlighted_blocks=494246601_419972775_2_41_0&matching_block_id=494246601_419972775_2_41_0&sr_pri_blocks=494246601_419972775_2_41_0__2795&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/259599939.webp?k=69120d882c4b3137307c0123ac45bb384808611a611c60a6094cb6654b02f956&o=,CairoShow on map | 2.2 km from downtown | Subway Access
Calmaa Kairo,9.0,Cairo,72.0,1426.0,28.81,Cairo,https://www.booking.com/hotel/eg/koko-zbky.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gzWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCzr6B0gbAAgHSAiRkZmM1OGI5Mi1kOTY1LTRlNzAtYTE1YS1hN2RkNDEzZjM2ZjfYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-06-28&checkout=2026-06-29&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=3bcba66793d00522&srepoch=1782603620&all_sr_blocks=1593815106_430422692_2_1_0_1375612&highlighted_blocks=1593815106_430422692_2_1_0_1375612&matching_block_id=1593815106_430422692_2_1_0_1375612&sr_pri_blocks=1593815106_430422692_2_1_0_1375612_2880&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/832405641.webp?k=6d7dce9180fd22951b039133323feaacace2f9cdad7f918126f664ee344c4fef&o=,Featured
Maravia Grand downtown hotel,,Cairo,12.0,6313.0,127.54,"Downtown Cairo, Cairo",https://www.booking.com/hotel/eg/maravia-grand-downtown.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gzWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCzr6B0gbAAgHSAiRkZmM1OGI5Mi1kOTY1LTRlNzAtYTE1YS1hN2RkNDEzZjM2ZjfYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-06-28&checkout=2026-06-29&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=3bcba66793d00522&srepoch=1782603620&all_sr_blocks=1670013903_438799425_2_1_0_1450844&highlighted_blocks=1670013903_438799425_2_1_0_1450844&matching_block_id=1670013903_438799425_2_1_0_1450844&sr_pri_blocks=1670013903_438799425_2_1_0_1450844_12750&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/885947654.webp?k=27657dab121a461d926c7fbe8abd7ac316284080006d505abc50c58745b4ba6f&o=,Featured
Hotel Comfort Giza,9.5,Cairo,325.0,820.0,16.57,"Giza, Cairo",https://www.booking.com/hotel/eg/giza-al-haram2.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gzWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCzr6B0gbAAgHSAiRkZmM1OGI5Mi1kOTY1LTRlNzAtYTE1YS1hN2RkNDEzZjM2ZjfYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-06-28&checkout=2026-06-29&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=3bcba66793d00522&srepoch=1782603620&all_sr_blocks=1596860701_430707268_2_1_0&highlighted_blocks=1596860701_430707268_2_1_0&matching_block_id=1596860701_430707268_2_1_0&sr_pri_blocks=1596860701_430707268_2_1_0__1656&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/880869592.webp?k=3821e9c26b5c79e7aea38bca042ff91da4ce6caa5a3f52dfe741ea341a1039e7&o=,"Giza, CairoShow on map | 11.4 km from downtown"
