place_name,place_location,photo_url,detail_link,tickets_price_other_nationality,tickets_price_egyptian,opening_hours,booking_link,free_entry_policy,on_map
Giza plateau,Giza,https://egymonuments.com/storage/events/July2025/QZGh9Yi02klQ6Pb9chmh.webp,https://egymonuments.com/details/Pyramids,"Adult: EGP 700
Student: EGP 350","Adult: EGP 60
Student: EGP 30","All Days
Summer Working Hours:
from 07:00 am Last Entry 04:00 pm
Winter Working Hours:
from 07:00 am Last Entry 04:00 pm
Ramadan Working Hours:
from 08:00 am Last Entry 03:30 pm",https://egymonuments.com/book-date/2,"Free entry for children below 6 years.                                                                 
                                                                                                                             
                                                                 Free entry for Egyptians with special needs.                                                                 
                                                                                                                             
                                                                 Free entry for Egyptians above 60 years.                                                                 
                                                                                                                             
                                                                 Photography with mobile phone is free of charge.","https://www.google.com/maps/search/Giza+plateau,+Giza,+Egypt?hl=en"
Egyptian Museum,Cairo,https://egymonuments.com/storage/events/July2025/YLlX9NpbyBQtySn0XezI.webp,https://egymonuments.com/details/EgyptianMuseum,"Adult: EGP 550
Student: EGP 275","Adult: EGP 30
Student: EGP 10","All Days
Summer Working Hours:
from 09:00 am Last Entry 04:00 pm
Winter Working Hours:
from 09:00 am Last Entry 04:00 pm
Ramadan Working Hours:
from 09:00 am Last Entry 03:00 pm",https://egymonuments.com/book-date/3,"Free entry for children below 6 years.                                                                 
                                                                                                                             
                                                                 Free entry for Egyptians with special needs.                                                                 
                                                                                                                             
                                                                 Free entry for Egyptians above 60 years.                                                                 
                                                                                                                             
                                                                 Photography with mobile phone is free of charge.","https://www.google.com/maps/search/Egyptian+Museum,+Cairo,+Egypt?hl=en"
Sharm El Sheikh Museum,Sharm El Sheikh,https://egymonuments.com/storage/events/July2025/ucl2a6ibkrtPw6ZDcIWd.webp,https://egymonuments.com/details/SharmElSheikhMuseum,"Adult: EGP 200
Student: EGP 100","Adult: EGP 40
Student: EGP 20","All Days
Summer Working Hours:
from 10:00 am Last Entry 12:00 pm
from 05:00 pm Last Entry 10:00 pm
Winter Working Hours:
from 10:00 am Last Entry 12:00 pm
from 05:00 pm Last Entry 10:00 pm
Ramadan Working Hours:
from 10:00 am Last Entry 01:00 pm
from 08:00 pm Last Entry 10:00 pm",https://egymonuments.com/book-date/4,"Free entry for children below 6 years.                                                                 
                                                                                                                             
                                                                 Free entry for Egyptians with special needs.                                                                 
                                                                                                                             
                                                                 Free entry for Egyptians above 60 years.                                                                 
                                                                                                                             
                                                                 Photography with mobile phone is free of charge.","https://www.google.com/maps/search/Sharm+El+Sheikh+Museum,+Sharm+El+Sheikh,+Egypt?hl=en"
Hurghada Museum,Hurghada,https://egymonuments.com/storage/events/July2025/ZpYtHmM45CrCeKeJE2p1.webp,https://egymonuments.com/details/HurghadaMuseum,"Adult: EGP 300
Student: EGP 150","Adult: EGP 80
Student: EGP 40","All Days
Summer Working Hours:
from 10:00 am Last Entry 12:00 pm
from 05:00 pm Last Entry 10:00 pm
Winter Working Hours:
from 10:00 am Last Entry 12:00 pm
from 05:00 pm Last Entry 10:00 pm
Ramadan Working Hours:
from 10:00 am Last Entry 01:00 pm
from 08:00 pm Last Entry 10:00 pm",https://egymonuments.com/book-date/5,"Free entry for children below 6 years.                                                                 
                                                                                                                             
                                                                 Free entry for Egyptians with special needs.                                                                 
                                                                                                                             
                                                                 Free entry for Egyptians above 60 years.                                                                 
                                                                                                                             
                                                                 Photography with mobile phone is free of charge.","https://www.google.com/maps/search/Hurghada+Museum,+Hurghada,+Egypt?hl=en"
Luxor Temple,Luxor,https://egymonuments.com/storage/events/September2023/7NN1VW3xHnDiS8e9tRxy.jpg,https://egymonuments.com/details/LuxorTemple,"Adult: EGP 500
Student: EGP 250","Adult: EGP 40
Student: EGP 20","All Days
Summer Working Hours:
from 06:00 am Last Entry 07:00 pm
Winter Working Hours:
from 06:00 am Last Entry 07:00 pm
Ramadan Working Hours:
from 06:00 am Last Entry 07:00 pm",https://egymonuments.com/book-date/6,"Free entry for children below 6 years.                                                                 
                                                                                                                             
                                                                 Free entry for Egyptians with special needs.                                                                 
                                                                                                                             
                                                                 Free entry for Egyptians above 60 years.                                                                 
                                                                                                                             
                                                                 Photography with mobile phone is free of charge.","https://www.google.com/maps/place/Luxor+Temple/@25.699502,32.6345448,17z/data=!4m10!1m2!2m1!1sLuxor+Temple,+Luxor,+Egypt!3m6!1s0x144915c41edadf61:0x7693895c346c7d81!8m2!3d25.699502!4d32.6390509!15sChpMdXhvciBUZW1wbGUsIEx1eG9yLCBFZ3lwdFoaIhhsdXhvciB0ZW1wbGUgbHV4b3IgZWd5cHSSARNhcmNoYWVvbG9naWNhbF9zaXRl4AEA!16zL20vMDNwcDd2?hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D"
Karnak Temple,Luxor,https://egymonuments.com/storage/events/July2025/Z3Pf8xidc8te24swCcGx.webp,https://egymonuments.com/details/KarnakTemple,"Adult: EGP 600
Student: EGP 300","Adult: EGP 40
Student: EGP 20","All Days
Summer Working Hours:
from 06:00 am Last Entry 04:00 pm
Winter Working Hours:
from 06:00 am Last Entry 04:00 pm
Ramadan Working Hours:
from 06:00 am Last Entry 04:00 pm",https://egymonuments.com/book-date/7,"Free entry for children below 6 years.                                                                 
                                                                                                                             
                                                                 Free entry for Egyptians with special needs.                                                                 
                                                                                                                             
                                                                 Free entry for Egyptians above 60 years.                                                                 
                                                                                                                             
                                                                 Photography with mobile phone is free of charge.","https://www.google.com/maps/search/Karnak+Temple,+Luxor,+Egypt?hl=en"
Hatshepsut Temple,Luxor,https://egymonuments.com/storage/events/July2025/nLD2jN5F3OkPPGlnJ7JT.webp,https://egymonuments.com/details/HatshepsutTemple,"Adult: EGP 440
Student: EGP 220","Adult: EGP 40
Student: EGP 20","All Days
Summer Working Hours:
from 06:00 am Last Entry 05:00 pm
Winter Working Hours:
from 06:00 am Last Entry 04:00 pm
Ramadan Working Hours:
from 06:00 am Last Entry 04:00 pm",https://egymonuments.com/book-date/8,"Free entry for children below 6 years.                                                                 
                                                                                                                             
                                                                 Free entry for Egyptians with special needs.                                                                 
                                                                                                                             
                                                                 Free entry for Egyptians above 60 years.                                                                 
                                                                                                                             
                                                                 Photography with mobile phone is free of charge.","https://www.google.com/maps/search/Hatshepsut+Temple,+Luxor,+Egypt?hl=en"
Abu Simbel Temple,Abu Simbel,https://egymonuments.com/storage/events/July2025/YIk4FUQa1c20fmhKUDAf.webp,https://egymonuments.com/details/AbuSimbelTemple,"Adult: EGP 822
Student: EGP 445.5
Adult: EGP 1272
Student: EGP 670.5","Adult: EGP 30.5
Student: EGP 10.5
Adult: EGP 60
Student: EGP 20","All Days
Summer Working Hours:
from 06:00 am Last Entry 04:00 pm
Winter Working Hours:
from 06:00 am Last Entry 04:00 pm
Ramadan Working Hours:
from 06:00 am Last Entry 04:00 pm",https://egymonuments.com/book-date/9,"Free entry for children below 6 years.                                                                 
                                                                                                                             
                                                                 Free entry for Egyptians with special needs.                                                                 
                                                                                                                             
                                                                 Free entry for Egyptians above 60 years.                                                                 
                                                                                                                             
                                                                 Photography with mobile phone is free of charge.","https://www.google.com/maps/search/Abu+Simbel+Temple,+Abu+Simbel,+Egypt?hl=en"
Coptic Museum,Cairo,https://egymonuments.com/storage/events/September2023/bmsILFVNZEZ4EhEQLtiV.jpg,https://egymonuments.com/details/CopticMuseum,"Adult: EGP 280
Student: EGP 140","Adult: EGP 20
Student: EGP 10","All Days
Summer Working Hours:
from 09:00 am Last Entry 04:00 pm
Winter Working Hours:
from 09:00 am Last Entry 04:00 pm
Ramadan Working Hours:
from 09:00 am Last Entry 02:00 pm",https://egymonuments.com/book-date/10,"Free entry for children below 6 years.                                                                 
                                                                                                                             
                                                                 Free entry for Egyptians with special needs.                                                                 
                                                                                                                             
                                                                 Free entry for Egyptians above 60 years.                                                                 
                                                                                                                             
                                                                 Photography with mobile phone is free of charge.","https://www.google.com/maps/search/Coptic+Museum,+Cairo,+Egypt?hl=en"
Dandarah Temple,Qena,https://egymonuments.com/storage/events/September2023/kzIwepI4uye9DvKyAIZA.jpg,https://egymonuments.com/details/DandarahTemple,"Adult: EGP 300
Student: EGP 150","Adult: EGP 20
Student: EGP 10","All Days
Summer Working Hours:
from 07:00 am Last Entry 04:00 pm
Winter Working Hours:
from 07:00 am Last Entry 04:00 pm
Ramadan Working Hours:
from 07:00 am Last Entry 04:00 pm",https://egymonuments.com/book-date/11,"Free entry for children below 6 years.                                                                 
                                                                                                                             
                                                                 Free entry for Egyptians with special needs.                                                                 
                                                                                                                             
                                                                 Free entry for Egyptians above 60 years.                                                                 
                                                                                                                             
                                                                 Photography with mobile phone is free of charge.","https://www.google.com/maps/search/Dandarah+Temple,+Qena,+Egypt?hl=en"
