Name,Category,Rating,Description,Dogs_Allowed,Address,Photo_URL,Maps_URL
Ageeba Beach,Public beach,4.6,"Small cove accessible via a path down from the clifftop, with clear sand & turquoise waters.",N/A,"C274+PHF شاطىء عجيبة, Mersa Matruh, Marsa Matrouh Governorate 5051304",https://lh3.googleusercontent.com/gps-cs-s/APNQkAGPjTVJ1dTRaNSbT5efbpt_dPNgi8-eAr-hbN59dPGW5Su8Tf3QbshfitFITH2xKNuIZbA1Z1SsVRC5yIK6l3ESOrn9lelW6gtZjTaaA_6xEgYk1jfm5Vp5WG2xMmyvGCZLzZAnKQ=w408-h306-k-no,"https://www.google.com/maps/place/Ageeba+Beach/@31.414321,27.0064276,17z/data=!3m1!4b1!4m6!3m5!1s0x1462060d7b0f1aef:0x799f52919280e6bc!8m2!3d31.414321!4d27.0064276!16s%2Fg%2F11cftyqff?hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D"
Cleopatra Beach,Beach,4.3,Famous rocky beach with a statue of Cleopatra & a cave where she is believed to have once bathed.,N/A,"Mersa Matruh, Marsa Matrouh Governorate",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHMXGl9Wjs1TJlbXKSaAEPINrhs_4BKap8RYBV0A4WTvl6XMOYJY2EmLiPNjcJbUlV_DHZguYaHR7NfbFRmAFT0aSsfsoxBHhDQkOuc-ijneqSLpcB_RN8QQJQFLg_nj3itLYCB=w408-h306-k-no,"https://www.google.com/maps/search/Cleopatra+Beach,+Marsa+Matrouh?hl=en"
⛱Rommel Beach,Beach,4.1,N/A,N/A,"Mersa Matruh, Marsa Matrouh Governorate 5057083",https://lh3.googleusercontent.com/gps-cs-s/APNQkAEOxKz4C0KpEvVpA1_AdCwtgmj9-RFlNXqhOOi-0RG_96Vs7qouZQiNJ7xPu7zrnLS_nZWw02yR98R1G5u7rF432NOvUTuP1_ph-VSdMvBu_a2MndjZfuwpvA0TSUBipXjwG9zLlg=w408-h306-k-no,"https://www.google.com/maps/search/Rommel+Beach,+Marsa+Matrouh?hl=en"
lover Beach,Beach,4.2,N/A,N/A,"Mersa Matruh, Marsa Matrouh Governorate 5053296",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHNID2dxLma12V_duJlZch936tERBfYFQESxx8uhMvSC-mo-bx0PKUprXg5zZLXxdvsYXorT9lX1UkQ0gMQO1nRqUqnCCUN8IrRIfOJwgkUMvXeiBFLjvvyZ8ZsiHw2wLBAV_5R=w408-h306-k-no,"https://www.google.com/maps/place/lover+Beach/@31.3684664,27.207231,14z/data=!4m10!1m2!2m1!1sGharam+Beach,+Marsa+Matrouh!3m6!1s0x1461fed8f567dae7:0x4b4954b2895f483c!8m2!3d31.3683364!4d27.222147!15sChtHaGFyYW0gQmVhY2gsIE1hcnNhIE1hdHJvdWhaHCIaZ2hhcmFtIGJlYWNoIG1hcnNhIG1hdHJvdWiSAQViZWFjaJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOYWNISlhaRGxSUlJBQuABAPoBBAgAEEc!16s%2Fg%2F1pp2vbzk4?hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D"
Almaza Bay,N/A,4.7,N/A,N/A,"Unnamed Road,, Mersa Matruh, Marsa Matrouh Governorate",https://lh3.googleusercontent.com/gps-cs-s/APNQkAGfA8RfB6UXNrhWUJmGGpDb3BEMm9ichkvn5o_EOwkoZeNLOPtn7OjbwqAnvFLNNsfwcs_SrICPi25EZ-6MFlz_H-7jmPNkPkb0nx_5-_vXDf_FuyhX3Yct-ZcoiUeaCxIi62T_ItGFceRf=w408-h264-k-no,"https://www.google.com/maps/place/Almaza+Bay/@31.1926975,27.5521193,15z/data=!4m13!1m2!2m1!1sAlmaza+Bay+Beach,+North+Coast!3m9!1s0x1461dd5499ee0129:0xf60e88238b6913d7!5m2!4m1!1i2!8m2!3d31.1956859!4d27.554789!15sCh1BbG1hemEgQmF5IEJlYWNoLCBOb3J0aCBDb2FzdJIBBWhvdGVs4AEA!16s%2Fg%2F11c48f8vhk?hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D"
North Beach - Marassi,Tourist attraction,4.5,N/A,N/A,"El Alamein, Marsa Matrouh Governorate 5065501",https://lh3.googleusercontent.com/gps-cs-s/APNQkAH5e8iSWoL4RTgytgp0ac5l-EQVgqOV99ZtOG5FiwUjZu5GRHXaPw7WrDYGkSParA1ZxoZYCQHVkoRxTBtxHzJxaAui5PWcSUWKyPlOZRJh58QKfDp_aLdiWYh2oiFpzCcod5Eo=w408-h306-k-no,"https://www.google.com/maps/search/Marassi+Beach,+North+Coast?hl=en"
Hacienda White - Palm Hills Developments,Beach,4.5,N/A,N/A,"KM 137 Alexandria - Marsa Matrouh Rd, Al Dabaa, Marsa Matrouh Governorate 5006403",https://lh3.googleusercontent.com/gps-cs-s/APNQkAE_c_EYugBkA_6kS-l42KivTiea135ENRVq7r1eCYk9gFQECJcmaiILQNQX2ONNH3QZa4tf7zamsycOlQr-e9H5_beqP325qNG3Hy8k4QQ-nVDwMtTv_z09i6V6CRlEPyXRvwk=w426-h240-k-no,"https://www.google.com/maps/place/Hacienda+White+-+Palm+Hills+Developments/@30.9954216,28.6199848,13z/data=!4m10!1m2!2m1!1sHacienda+White+Beach,+North+Coast!3m6!1s0x146007680666ee6d:0x7da122293368bbaf!8m2!3d30.9954216!4d28.6611835!15sCiFIYWNpZW5kYSBXaGl0ZSBCZWFjaCwgTm9ydGggQ29hc3RaIiIgaGFjaWVuZGEgd2hpdGUgYmVhY2ggbm9ydGggY29hc3SSAQViZWFjaJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSd2Iwc3ljMlJuRUFF4AEA-gEECB8QPQ!16s%2Fg%2F11c1tk_l_s?hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D"
El Mamurah Beach,Public beach,4.2,Popular sunbathing beach with seafront eateries & a broad promenade for strolling & cycling.,N/A,"72RJ+87F, Street 17, Al Mandarah Bahri, Montaza 2, Alexandria Governorate 5527101",https://lh3.googleusercontent.com/gps-cs-s/APNQkAERhP89E471sTXp76N5C94u6oDxsTtbv-h3oNQ4GVeinGcTY1Kyy375PvOmkLYG1vGaIL_I-JSYA_H8CxyfN41vG1xqh0qNGKyLtBXCYpJx9W6H0JMG9jXl2aW8JGkU7KoiZn6o=w408-h305-k-no,"https://www.google.com/maps/place/El+Mamurah+Beach/@31.2908176,29.9894692,13z/data=!4m10!1m2!2m1!1sMamoura+Beach,+Alexandria!3m6!1s0x14f5d0dc8232f1b5:0xca05b625c94574ea!8m2!3d31.2908176!4d30.0306679!15sChlNYW1vdXJhIEJlYWNoLCBBbGV4YW5kcmlhWhoiGG1hbW91cmEgYmVhY2ggYWxleGFuZHJpYZIBDHB1YmxpY19iZWFjaOABAA!16s%2Fm%2F0k56brk?hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D"
El Montazah Beach,Beach,4.2,N/A,N/A,"Al Mandarah Bahri, Montaza 2, Alexandria Governorate 5527001",https://lh3.googleusercontent.com/gps-cs-s/APNQkAGLY6DY9PDvQlIj8Q2IAGNrHOrM5EVjlsdZAKcogSjTpE8Yga2limKWp0RB5bOpApMMHuZ01n4c9ll_aZBckOgo01mZ_NwJXVMtfbiIN-cSlLhKBWYcG-4e8i-PgxPeQINIyCzsTQ=w408-h276-k-no,"https://www.google.com/maps/place/El+Montazah+Beach/@31.2823393,30.011602,15z/data=!3m1!4b1!4m6!3m5!1s0x14f5d0667d5de5eb:0xcb2424b3663ae7ae!8m2!3d31.2823398!4d30.011602!16s%2Fg%2F1v70ywjf?hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D"
Qaitbay Citadel,Castle,4.5,N/A,N/A,"السيالة شرق، قسم الجمرك،, Alexandria Governorate",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFoU5QPcr3lt1puigrAhjU13E2LY3Ut_Tx3JuOUQGwjOyi_zrblNIsT8dWVGTG8UX9XmRHb652J3-nxrvGw2at0FeDo0wTgLm41YbDdh0Zf9yvx2T7D4TrBfgyjgdkzbobhqyn5=w408-h306-k-no,"https://www.google.com/maps/place/Qaitbay+Citadel/@31.2136987,29.8841046,18z/data=!4m10!1m2!2m1!1sCitadel+of+Qaitbay+Waterfront,+Alexandria!3m6!1s0x14f5c352282911bb:0xe59f8308f8b23d1f!8m2!3d31.2136987!4d29.8853921!15sCilDaXRhZGVsIG9mIFFhaXRiYXkgV2F0ZXJmcm9udCwgQWxleGFuZHJpYVoqIihjaXRhZGVsIG9mIHFhaXRiYXkgd2F0ZXJmcm9udCBhbGV4YW5kcmlhkgEGY2FzdGxlmgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJ0S1JWVkVVbWxTV0VKMFYyNWFTbGxWTlVSUk1GWkZWVEIwV1ZNeFJSQULgAQD6AQQIGBA_!16s%2Fg%2F11pwrly5n4?hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D"
