restaurant_key,governorate_key,cuisine_key,name,category,rating,phone_number,photo_url,maps
RST-00001,2,11,1902 Restaurant,Falafel restaurant,3.7,0,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHM4P92wf0S6vq7knMoXwZcICNp_A_nHqbowOprcFBnqcrT1sBPoef3NnjLck1ECQl8LDVubyHmslVgh4xz4aHRG9QoGWAT8YIDyXZpRwrSLWWd5DiS-sV05LbW-GaUqm7waSdidg=w513-h240-k-no,https://www.google.com/maps/search/1902+Restaurant?hl=en
RST-00002,6,8,8 Restaurant,Chinese restaurant,4.3,+20227916888,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHNaniUhMPhgLxd1w-3mj5sbrTEaHESO-2oN8pA7KHl1BPFTFOe50OUCd-D-xluxs18cmDKxrosB_TrmtEY4EpQofuyhYu0WkF_HAfB5Y1JkZ9QpPdiFhaKao1L9QdSxor6JGz55sy6oGnd=w426-h240-k-no,"https://www.google.com/maps/place/8+Restaurant/@30.0361876,31.14731,12z/data=!4m10!1m2!2m1!1s8+Restaurant!3m6!1s0x1458408f25846503:0x84d599fc271bd09b!8m2!3d30.0361876!4d31.2297075!15sCgw4IFJlc3RhdXJhbnRaDiIMOCByZXN0YXVyYW50kgESY2hpbmVzZV9yZXN0YXVyYW50mgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJ4d2VtTkVXbkpqYld4dVpHNUdWbGw2YkVWT1JURlVaVlZTVms0eVl4QULgAQD6AQQIABAs!16s%2Fg%2F1tdlqnmv?hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D"
RST-00003,9,11,9 Pyramids Lounge,French restaurant,4.2,+201212299999,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHrrql-nD4AB4brFNWDV8htMDsX7pKcSoSypz0y2KDagQScPsnGNWNZdyGke5rNcENW0mfWIlOV7OtcxPyojzq62ggb_GlHb5eWgfHuQUY9tDLxC_GI9waS_c1C-HZIkLtZikA=w408-h306-k-no,"https://www.google.com/maps/place/9+Pyramids+Lounge/@29.9677783,31.1267711,16z/data=!4m13!1m2!2m1!1sPyramids+Lounge!3m9!1s0x14584f74545fb4b7:0x5397b82f76e498ad!5m2!4m1!1i2!8m2!3d29.9677783!4d31.1319209!15sCg9QeXJhbWlkcyBMb3VuZ2VaESIPcHlyYW1pZHMgbG91bmdlkgEKcmVzdGF1cmFudOABAA!16s%2Fg%2F11mv3bzwvh?hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D"
RST-00004,6,11,Abou El Sid Restaurant,Egyptian restaurant,3.8,+20227359640,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH_4-0XQlk5E6o46Ch1jswDhL2joem1JrIQwtI0FnXGBMdtrl_KVJj0n0O0-Qajx2h8oORUDFvVhu2MNNggY74TQRBem_gxqYxsP5DXm-eSiMx5nZeqWGiISl8HnDMteM0Dy1VKzgMAOrPv=w408-h544-k-no,"https://www.google.com/maps/place/Abou+El+Sid+Restaurant/@30.059463,31.1417733,12z/data=!4m10!1m2!2m1!1sAbou+El+Sid!3m6!1s0x145840eb2c0e580f:0x25aa349178187545!8m2!3d30.059463!4d31.2241708!15sCgtBYm91IEVsIFNpZCIDiAEBWg0iC2Fib3UgZWwgc2lkkgETZWd5cHRpYW5fcmVzdGF1cmFudOABAA!16s%2Fg%2F1wb4460m?hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D"
RST-00005,6,28,Abou Haidar Shawerma,Shawarma restaurant,4.2,0,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGJMc-PhwKSx40_xeT2TBUt0C9XeXX0Y0RhyJd_qYnIv9N1SdZiKkwmMcDNvpP9SQd0QYqZwxlFoxjl4i8dE11syxFBiYc1kHcQ3_fZM_Q1YHzdhdugCGEW8KskHgo1F4iXX805=w408-h306-k-no,https://www.google.com/maps/search/Abou+Haidar?hl=en
RST-00006,6,11,Abou Shakra Restaurants,Restaurant,4.0,+20224188891,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGF5Ve06JiOFow9LpGWDBJfnZgXaIARJqQD4i_WKx_pq06VAu14x6TiYheRI845LGOZ1BELiBF_2gXob__eeoPjIKMsKtUuVdrOEm0ApTHGs21B8mQuepRT3ERft-e3_Gt5jwsb=w408-h544-k-no,https://www.google.com/maps/search/Abou+Shakra?hl=en
RST-00007,17,5,Abu Dabbab,Beach,4.6,+201220000605,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHgrDkIo2BRqXYwqz8toTukXIr5VbUc2RIG7JjhZGEobHgm13zmmHSqhEDLVP1-FX4d1lWfK9pQfomZ_9brvBIKzVYwEp860G81jYDlIxitG4h03bdZbosfDAwvRVjhHNIgovuEkLSIOJF4=w408-h357-k-no,"https://www.google.com/maps/place/Abu+Dabbab/@25.3373735,34.7381258,15z/data=!4m10!1m2!2m1!1sAbu+Dabbab+Resort+Restaurant!3m6!1s0x15b4bb1887f2bacd:0x83e8cbcfb44a893!8m2!3d25.337374!4d34.7381258!15sChxBYnUgRGFiYmFiIFJlc29ydCBSZXN0YXVyYW50Wh4iHGFidSBkYWJiYWIgcmVzb3J0IHJlc3RhdXJhbnSSAQViZWFjaJoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyMU9VMWx0T1U5aVJXeFdVVzF3Y1ZOdFZtbGllbXhKWld4d1NGZFhZeEFC4AEA-gEECCgQJQ!16s%2Fg%2F123230k3n?hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D"
RST-00008,12,24,Ageeba Beach,Public beach,4.6,+201101153532,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEmk-ZDqyz-iaga4e3PEz01J-YBGHjiwxPfyHllnqmq-nlMeEObO1WAbYNpX2vu8E4HvLXz4-PRuM44pMOTa94KB_pN3vbR0lyjuzhJDc3BwCNJi15MaCwRC59oIIkNOqgT9fqJZA=w408-h306-k-no,"https://www.google.com/maps/place/Ageeba+Beach/@31.414321,26.6768378,10z/data=!4m10!1m2!2m1!1sAgiba+Beach+area+restaurants!3m6!1s0x1462060d7b0f1aef:0x799f52919280e6bc!8m2!3d31.414321!4d27.0064276!15sChxBZ2liYSBCZWFjaCBhcmVhIHJlc3RhdXJhbnRzWh4iHGFnaWJhIGJlYWNoIGFyZWEgcmVzdGF1cmFudHOSAQxwdWJsaWNfYmVhY2iaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnBhV2xGVVdsUlZNRFZTVjBWV05tTldiRkZSYlRWaFRsWndjV014UlJBQuABAPoBBQjpARAw!16s%2Fg%2F11cftyqff?hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D"
RST-00009,9,30,Al Agha,Syrian restaurant,4.2,+201015537363,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG2JpJdTp4RQw-PLa6hdFtkxUl1JvvuNg0m88pOWHYDs1T1VI04rgOS73c5bhOs7RtLaLTM6IHml91801cIWj1dYuYj58hmcidfAz8SKfztfry_0TEP6l9i0Y_apcTt67XIXJF72TDQ2ao=w426-h240-k-no,"https://www.google.com/maps/place/Al+Agha/@30.0399566,31.1765871,13z/data=!4m10!1m2!2m1!1sAl+Agha!3m6!1s0x145841887cdbef93:0xc15e00713f61cadc!8m2!3d30.0399566!4d31.2177858!15sCgdBbCBBZ2hhWgkiB2FsIGFnaGGSARFzeXJpYW5fcmVzdGF1cmFudOABAA!16s%2Fg%2F11ph0t_qb0?hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D"
RST-00010,11,11,Al Sahaby Lane Restaurant,Restaurant,4.6,+20952256086,https://lh3.googleusercontent.com/gps-cs-s/APNQkAET44LjoKEZnSLgEldndKpBZKesbBbn_7eugRFja0i2jztrNG96ucf6K0CDjKOqnPvNEA1-gLGR_yZYSSw9flWFzrS00kgOPn7heyew9rpt7ZkqpWPpDTRkAyS5yFds7TN74YUz=w532-h240-k-no,https://www.google.com/maps/search/Al-Sahaby+Lane+Restaurant?hl=en
