id,name,government,description,image_url
COL-00001,A Statue of a Ptolemaic queen,South Sinai,"This statue depicts a Ptolemaic queen in the form of the goddess Isis, wearing a long cloak knotted at the chest with the “Isis knot.” She carries the cornucopia in her left hand, which is now missing. This type of statue appeared with the Ptolemaic queens during the reign of Arsnoi II and lasted up until the reign of Cleopatra VII. These statues combined Egyptian and Greek artistic traditions, and were often used as a form of political propaganda by the Ptolemy's, deifying their rulers following their death.
Date: The Ptolemaic period 2-1 B.C
Medium: Basalt
Provenance: unknown","https://egymonuments.gov.eg/media/6358/sh281.jpg?center=0.32417582417582419,0.59836065573770492&mode=crop&width=645&height=423&rnd=134188242600000000"
COL-00002,A base surmounted by a human right foot,Matrouh,"A base bearing a human right foot – the instep is finely carved, with all toes complete. There is a break at the junction of the foot and the leg (the back of the foot). The base is uneven due to fractures in various directions.
material: Basalt
Dimensions: Maximum height: approx. 13.5 cm
                    Maximum width: approx. 24 cm
                    Maximum length: approx. 21.5 cm
provenance: Canope
","https://egymonuments.gov.eg/media/8903/picture4.jpg?center=0.52380952380952384,0.4375&mode=crop&width=645&height=423&rnd=133993086810000000"
COL-00003,A bust of a young man,Cairo,,"https://egymonuments.gov.eg/media/7123/img-20210507-wa0004.jpg?center=0.29746835443037972,0.54716981132075471&mode=crop&width=645&height=423&rnd=132657632830000000"
COL-00004,A collection of Medal,Alexandria,"A collection of Medalmade of diffrent materials .
Date:  Mohammad Ali dynasty 
Mideum: Glod -Silver -Gemstones
Provinence:Egypt .
","https://egymonuments.gov.eg/media/4345/f7-01-03l.jpg?center=0.41584158415841582,0.51111111111111107&mode=crop&width=645&height=423&rnd=134230586690000000"
COL-00005,A handle,Matrouh,"Fragment of a handle depicting two faces of Hathor, features indistinct, with a layer of rust and surface erosion.
material: Bronze
dimensions: h 7.5
                    w 4.3
provenance: Heracleion",https://egymonuments.gov.eg/media/8910/picture9.jpg?anchor=center&mode=crop&width=645&height=423&rnd=133993897590000000
COL-00006,A huge red granite statue of one of the great Ptolemies:,Alexandria,"The statue represents an idealized depiction of King Ptolemy, rendered using the traditional vocabulary of Egyptian art, with subtle Ptolemaic influences. The use of solar elements in the crown alludes to the association with the god Amun-Ra, thereby enhancing the king’s religious and political roles. The head is topped with a composite double crown. The statue weighs approximately 5.5 tons and stands at a height of about 5.25 meters.""
Date: Ptolemaic era
Medium: red granite
Provenance: Heraklion","https://egymonuments.gov.eg/media/8898/22.jpg?center=0.22023809523809523,0.51648351648351654&mode=crop&width=645&height=423&rnd=133989599320000000"
COL-00007,A lamp in the name of Sultan Hassan,Cairo,"A lantern of glass on its neck has a gilded Quranic writing, and on its body an inscription in blue enamel with the name of Sultan Hassan, from the Sultan Hassan School
Date: Mamluk Era.
Medium:Enamelled glass
Provenance : Egypt",https://egymonuments.gov.eg/media/6212/2222.jpg?anchor=center&mode=crop&width=645&height=423&rnd=134194288060000000
COL-00008,A set of seals,Cairo,A set of seals designated for the Royal Mews.,"https://egymonuments.gov.eg/media/6355/20200711-royal-carriages-museum-pre-opening-220.jpg?crop=0,0,0,0.026259905733671589&cropmode=percentage&width=645&height=423&rnd=132581519540000000"
COL-00009,A statue of Amun,Gharbia,"A statue of an Egyptian deity ""Amun"" in the form of a human being, standing on a pedestal and on a pedestal, and on his head a crown of Rashti, a cobra, a cobra, a cobra, a cobra, a cobra, a cobra, and the sign ""ankh"" Cnh, and in his right hand the cobra.
History: Greco-Roman
Material: Bronze
Where to find: San Al Hajar","https://egymonuments.gov.eg/media/8140/7.jpg?center=0.25342465753424659,0.47761194029850745&mode=crop&width=645&height=423&rnd=133206743970000000"
COL-00010,A statue of Isis,Gharbia,"A statue representing the goddess Isis, sitting and breastfeeding the baby Horus
History: Greco-Roman
Material: Bronze
Finding place: Tell el-Faraeen, Kafr El-Sheikh","https://egymonuments.gov.eg/media/8141/12.jpg?crop=0,0.016981014628073453,0,0.73245029277861018&cropmode=percentage&width=645&height=423&rnd=133206751480000000"
COL-00011,A stele depicting a physician or pharmacist,Kafr El Sheikh,"The man is dressed in Greek himation and chiton, and is seated on a chair with a high back, indicating a high ranking person. He is facing an altar and treating an item in a dish with a small instrument. The rolled papyrus in his left hand indicates that he is a literate and learned person. The cupboard on his right contains three shelves bearing different shaped vessels, likely containing medicines and other healing materials. 
Date: late 2nd century AD
Material: limestone
Provenance: Terenouthis/ Abu Billu","https://egymonuments.gov.eg/media/6347/%D8%A7%D9%84%D8%B5%D9%8A%D8%AF%D9%84%D9%8A.png?center=0.5092592592592593,0.58139534883720934&mode=crop&width=645&height=423&rnd=134194256540000000"
COL-00012,A votive altar,Kafr El Sheikh,"Such small votive objects were dedicated in temples or small shrines by devotees of different deities. This example shows the very common horned type, with Greek-style architectural elements: doric columns and capitals, and cornices bearing dentils. There are two sphinxes in relief on the lateral horns of the altar with a figure of standing Harpokrates between them. This structure reflects the monumental altars dedicated in important religious centers like that built by Alexander the Great in Alexandria.
Date: 2nd century AD
Material: limestone
Provenance: Kafr el-Shiekh governorate",https://egymonuments.gov.eg/media/6349/%D8%A7%D9%84%D9%85%D8%B0%D8%A8%D8%AD.png?anchor=center&mode=crop&width=645&height=423&rnd=134194228170000000
COL-00013,A wooden model of a Funerary boat,Luxor,"Boats were used to transport the mummy to the cemetery on the western bank of Nile. The coffin was accompanied by relatives and Funerary Priests, including two women, representing Isis and Nephthys.","https://egymonuments.gov.eg/media/1511/80.jpg?crop=0,0.104,0,0.1090232558139534&cropmode=percentage&width=645&height=423&rnd=132581519680000000"
COL-00014,Al-Sabeel Hall(Bayt al-Kritliyya).,Cairo,It contained pottery and metal artifacts mythological dishes.,https://egymonuments.gov.eg/media/6605/gayer-anderson-museum-05182020_155953.jpg?anchor=center&mode=crop&width=645&height=423&rnd=134163980760000000
COL-00015,Alexandria,Alexandria,"The Pearl of the Mediterranean
Alexandria  was  the  greatest  city  of  the  ancient  world  at  the  time of the early Ptolemies. It remained the capital of Egypt for nearly a millennium since its foundation by Alexander the Great in 331 BC till the Arab conquest in AD 641. The city was completed under the reign of Ptolemy II (285 - 246 BC). It was designed  by  the  Greek  architect  Dinocrates  of  Rhodes,  who  connected  the  mainland  (narrow  strip  of  land  between  the  Mediterranean and Lake Mareotis) with the island of Pharos by a dyke ""Heptastadion"", thus creating Eastern and Western Ports. The layout of the city was like a chess-board, in which there  were  two  main  roads  intersecting  at  right  angles,  and  the  side  streets  ran  parallel  to  these  perpendicular  axes.  Alexandria   was   the   site   of   the   famous   Lighthouse,   the   legendary  Library,  and  the  Museion  (Research  Institution,  which was the home of scientists, philosophers and scholars from  all  over  the  world).  The  remains  of  the  ancient  city  can  be  mainly  found  in  private  cemeteries,  temples,  Roman theatre, as well as underwater antiquities in the Eastern Harbour.","https://egymonuments.gov.eg/media/6750/1612174266692edit.jpg?crop=0.17878787878787875,0.19102272099308731,0.13939393939393954,0.29007456984758778&cropmode=percentage&width=645&height=423&rnd=134157982210000000"
