id,place_name,place_location,photo_url,detail_link,tickets_price_other_nationality,tickets_price_egyptian,opening_hours,booking_link,free_entry_policy,on_map,_ingestion_timestamp,_source_file,location_display,government,tickets_egyptian_adult,tickets_egyptian_student,tickets_other_adult,tickets_other_student,summer_opens,summer_closes,winter_opens,winter_closes,free_entry_children_under_6,free_entry_egyptian_special_needs,free_entry_egyptian_seniors_60,free_entry_photography_mobile,free_entry_spouse_as_egyptian,free_entry_student_id_condition
TCK-00001,Abu Simbel Temple,Abu Simbel,https://egymonuments.com/storage/events/July2025/YIk4FUQa1c20fmhKUDAf.webp,https://egymonuments.com/details/AbuSimbelTemple,"Adult: EGP 822
Student: EGP 445.5
Adult: EGP 1272
Student: EGP 670.5","Adult: EGP 30.5
Student: EGP 10.5
Adult: EGP 60
Student: EGP 20","All Days
Summer Working Hours:
from 06:00 am Last Entry 04:00 pm
Winter Working Hours:
from 06:00 am Last Entry 04:00 pm
Ramadan Working Hours:
from 06:00 am Last Entry 04:00 pm",https://egymonuments.com/book-date/9,"Free entry for children below 6 years.                                                                 
                                                                                                                             
                                                                 Free entry for Egyptians with special needs.                                                                 
                                                                                                                             
                                                                 Free entry for Egyptians above 60 years.                                                                 
                                                                                                                             
                                                                 Photography with mobile phone is free of charge.","https://www.google.com/maps/search/Abu+Simbel+Temple,+Abu+Simbel,+Egypt?hl=en",2026-07-05 17:07:44.076781,egymonuments_tickets.csv,Abu Simbel,Aswan,30.5,10.5,16.73,9.07,06:00,16:00,06:00,16:00,True,True,True,True,False,False
TCK-00002,Abydos Temple,Sohag,https://egymonuments.com/storage/events/July2024/OLNW1rvVdH0lEklcxmUR.png,https://egymonuments.com/details/AbydosTemple,"Adult: EGP 260
Student: EGP 130","Adult: EGP 10
Student: EGP 5","Summer Working Hours:
from 07:00 am Last Entry 04:00 pm
Winter Working Hours:
from 07:00 am Last Entry 04:00 pm
Ramadan Working Hours:
from 09:00 am Last Entry 03:00 pm",https://egymonuments.com/book-date/159,"Free entry for children below 6 years.                                                                 
                                                                                                                             
                                                                 Free entry for Egyptians with special needs.                                                                 
                                                                                                                             
                                                                 Free entry for Egyptians above 60 years.                                                                 
                                                                                                                             
                                                                 Photography with mobile phone is free of charge.","https://www.google.com/maps/place/Abydos+Egypt/@26.1840768,31.9207692,18z/data=!4m10!1m2!2m1!1sAbydos+Temple,+Sohag,+Egypt!3m6!1s0x1448b51c5b023dcb:0xd20480e3c94bf54f!8m2!3d26.183444!4d31.9226391!15sChtBYnlkb3MgVGVtcGxlLCBTb2hhZywgRWd5cHRaGyIZYWJ5ZG9zIHRlbXBsZSBzb2hhZyBlZ3lwdJIBE2hpc3RvcmljYWxfbGFuZG1hcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUTVNWFJETmtkM0VBReABAPoBBAgAEEw!16s%2Fg%2F11k599z943?hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",2026-07-05 17:07:44.076781,egymonuments_tickets.csv,Sohag,Sohag,10.0,5.0,5.29,2.65,07:00,16:00,07:00,16:00,True,True,True,True,False,False
TCK-00003,Air Dome,Aswan,https://egymonuments.com/storage/events/July2024/RucVl9mpI7ZBkNdWI2de.png,https://egymonuments.com/details/AirDome,"Adult: EGP 200
Student: EGP 100","Adult: EGP 20
Student: EGP 10","Summer Working Hours:
from 07:00 am Last Entry 03:00 pm
Winter Working Hours:
from 07:00 am Last Entry 03:00 pm
Ramadan Working Hours:
from 07:00 am Last Entry 03:00 pm",https://egymonuments.com/book-date/114,"Free entry for children below 6 years.                                                                 
                                                                                                                             
                                                                 Free entry for Egyptians with special needs.                                                                 
                                                                                                                             
                                                                 Free entry for Egyptians above 60 years.                                                                 
                                                                                                                             
                                                                 Photography with mobile phone is free of charge.","https://www.google.com/maps/search/Air+Dome,+Aswan,+Egypt?hl=en",2026-07-05 17:07:44.076781,egymonuments_tickets.csv,Aswan,Aswan,20.0,10.0,4.07,2.04,07:00,15:00,07:00,15:00,True,True,True,True,False,False
TCK-00004,Al Ghuri Dome,Cairo,https://egymonuments.com/storage/events/December2023/zMTMobnWhDpPQP9i224F.jpg,https://egymonuments.com/details/AlGhuriDome,"Adult: EGP 150
Student: EGP 75","Adult: EGP 10
Student: EGP 5","All Days
Summer Working Hours:
from 09:00 am Last Entry 04:00 pm
Winter Working Hours:
from 09:00 am Last Entry 04:00 pm
Ramadan Working Hours:
from 09:00 am Last Entry 03:00 pm",https://egymonuments.com/book-date/100,"Free entry for children below 6 years.                                                                 
                                                                                                                             
                                                                 Free entry for Egyptians with special needs.                                                                 
                                                                                                                             
                                                                 Free entry for Egyptians above 60 years.                                                                 
                                                                                                                             
                                                                 Photography with mobile phone is free of charge.","https://www.google.com/maps/search/Al+Ghuri+Dome,+Cairo,+Egypt?hl=en",2026-07-05 17:07:44.076781,egymonuments_tickets.csv,Cairo,Cairo,10.0,5.0,3.05,1.53,09:00,16:00,09:00,16:00,True,True,True,True,False,False
TCK-00005,Al Matariyyah Obelisk,Cairo,https://egymonuments.com/storage/events/July2024/WwSnPpAf2DXedeoUrHpW.jpg,https://egymonuments.com/details/AlMatariyyahObelisk,"Adult: EGP 200
Student: EGP 100","Adult: EGP 10
Student: EGP 5","Summer Working Hours:
from 08:00 am Last Entry 04:00 pm
Winter Working Hours:
from 08:00 am Last Entry 04:00 pm
Ramadan Working Hours:
from 09:00 am Last Entry 03:00 pm",https://egymonuments.com/book-date/237,"Free entry for children below 6 years.                                                                 
                                                                                                                             
                                                                 Free entry for Egyptians with special needs.                                                                 
                                                                                                                             
                                                                 Free entry for Egyptians above 60 years.                                                                 
                                                                                                                             
                                                                 Photography with mobile phone is free of charge.","https://www.google.com/maps/place/Heliopolis+Obelisk+-+Obelisk+of+Snosert+I/@30.0619981,31.214469,12z/data=!4m10!1m2!2m1!1sAl+Matariyyah+Obelisk,+Cairo,+Egypt!3m6!1s0x145815a7f85d35c1:0xcf03cf9403ccfb31!8m2!3d30.1294018!4d31.3075858!15sCiNBbCBNYXRhcml5eWFoIE9iZWxpc2ssIENhaXJvLCBFZ3lwdFojIiFhbCBtYXRhcml5eWFoIG9iZWxpc2sgY2Fpcm8gZWd5cHSSARNoaXN0b3JpY2FsX2xhbmRtYXJrmgEjQ2haRFNVaE5NRzluUzBWUE4zcHZjazlKYzJOcFYwRm5FQUXgAQD6AQQIGhBJ!16s%2Fg%2F11g6x26qt2?hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",2026-07-05 17:07:44.076781,egymonuments_tickets.csv,Cairo,Cairo,10.0,5.0,4.07,2.04,08:00,16:00,08:00,16:00,True,True,True,True,False,False
TCK-00006,Al-Mualla Tombs,Luxor,https://egymonuments.com/storage/events/July2024/VM1Fs6VDBBD40wf5DVKU.jpg,https://egymonuments.com/details/AlMualla,"Adult: EGP 100
Student: EGP 50","Adult: EGP 10
Student: EGP 5","All Days
Summer Working Hours:
from 08:00 am Last Entry 04:00 pm
Winter Working Hours:
from 08:00 am Last Entry 04:00 pm
Ramadan Working Hours:
from 08:00 am Last Entry 03:00 pm",https://egymonuments.com/book-date/192,"Free entry for children below 6 years.                                                                 
                                                                                                                             
                                                                 Free entry for Egyptians with special needs.                                                                 
                                                                                                                             
                                                                 Free entry for Egyptians above 60 years.                                                                 
                                                                                                                             
                                                                 Photography with mobile phone is free of charge.","https://www.google.com/maps/search/Al-Mualla+Tombs,+Luxor,+Egypt?hl=en",2026-07-05 17:07:44.076781,egymonuments_tickets.csv,Luxor,Luxor,10.0,5.0,2.04,1.02,08:00,16:00,08:00,16:00,True,True,True,True,False,False
TCK-00007,Alexandria National Museum,Alexandria,https://egymonuments.com/storage/events/September2023/XsvXcbKC4IzVBe51PUal.JPG,https://egymonuments.com/details/AlexandriaNationalMuseum,"Adult: EGP 220
Student: EGP 110","Adult: EGP 20
Student: EGP 5","All Days
Summer Working Hours:
from 09:00 am Last Entry 04:00 pm
Winter Working Hours:
from 09:00 am Last Entry 04:00 pm
Ramadan Working Hours:
from 09:00 am Last Entry 03:00 pm",https://egymonuments.com/book-date/32,"Free entry for children below 6 years.                                                                 
                                                                                                                             
                                                                 Free entry for Egyptians with special needs.                                                                 
                                                                                                                             
                                                                 Free entry for Egyptians above 60 years.                                                                 
                                                                                                                             
                                                                 Photography with mobile phone is free of charge.","https://www.google.com/maps/search/Alexandria+National+Museum,+Alexandria,+Egypt?hl=en",2026-07-05 17:07:44.076781,egymonuments_tickets.csv,Alexandria,Alexandria,20.0,5.0,4.48,2.24,09:00,16:00,09:00,16:00,True,True,True,True,False,False
TCK-00008,Alhammamya Tombs,Assuit,https://egymonuments.com/storage/events/July2024/d6JKclZR8Tc91HzGFG6L.png,https://egymonuments.com/details/AlhammamyaTombs,"Adult: EGP 100
Student: EGP 50","Adult: EGP 10
Student: EGP 5","Summer Working Hours:
from 08:00 am Last Entry 04:00 pm
Winter Working Hours:
from 08:00 am Last Entry 04:00 pm
Ramadan Working Hours:
from 09:00 am Last Entry 03:00 pm",https://egymonuments.com/book-date/201,"Free entry for children below 6 years.                                                                 
                                                                                                                             
                                                                 Free entry for Egyptians with special needs.                                                                 
                                                                                                                             
                                                                 Free entry for Egyptians above 60 years.                                                                 
                                                                                                                             
                                                                 Photography with mobile phone is free of charge.","https://www.google.com/maps/search/Alhammamya+Tombs,+Assuit,+Egypt?hl=en",2026-07-05 17:07:44.076781,egymonuments_tickets.csv,Assuit,Asyut,10.0,5.0,2.04,1.02,08:00,16:00,08:00,16:00,True,True,True,True,False,False
TCK-00009,Amarna,Minya,https://egymonuments.com/storage/events/July2024/hd1FXkOKV3mE8EjVOLKb.jpg,https://egymonuments.com/details/Amarna,"Adult: EGP 200
Student: EGP 100","Adult: EGP 10
Student: EGP 5","All Days
Summer Working Hours:
from 08:00 am Last Entry 04:00 pm
Winter Working Hours:
from 08:00 pm Last Entry 04:00 pm
Ramadan Working Hours:
from 09:00 am Last Entry 03:00 pm",https://egymonuments.com/book-date/135,"Free entry for children below 6 years.                                                                 
                                                                                                                             
                                                                 Free entry for Egyptians with special needs.                                                                 
                                                                                                                             
                                                                 Free entry for Egyptians above 60 years.                                                                 
                                                                                                                             
                                                                 Photography with mobile phone is free of charge.","https://www.google.com/maps/place/Tell+el+Amarna/@27.6445082,30.862575,14z/data=!4m10!1m2!2m1!1sAmarna,+Minya,+Egypt!3m6!1s0x144527802b434fed:0x38caabadefe40cbf!8m2!3d27.6445082!4d30.8986239!15sChRBbWFybmEsIE1pbnlhLCBFZ3lwdFoUIhJhbWFybmEgbWlueWEgZWd5cHSSARNoaXN0b3JpY2FsX2xhbmRtYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU0xYW05cWRtMW5SUkFC4AEA-gEECEAQHQ!16s%2Fg%2F11b6gqs908?hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",2026-07-05 17:07:44.076781,egymonuments_tickets.csv,Minya,Minya,10.0,5.0,4.07,2.04,08:00,16:00,20:00,16:00,True,True,True,True,False,False
TCK-00010,Ancient Roman Theatre,Alexandria,https://egymonuments.com/storage/events/September2023/7oYrbG5RsoN95JCQzIPF.jpg,https://egymonuments.com/details/RomanAmphitheatre,"Adult: EGP 200
Student: EGP 100","Adult: EGP 20
Student: EGP 10","All Days
Summer Working Hours:
from 09:00 am Last Entry 04:00 pm
Winter Working Hours:
from 09:00 am Last Entry 04:00 pm
Ramadan Working Hours:
from 09:00 am Last Entry 03:00 pm",https://egymonuments.com/book-date/34,,"https://www.google.com/maps/search/Ancient+Roman+Theatre,+Alexandria,+Egypt?hl=en",2026-07-05 17:07:44.076781,egymonuments_tickets.csv,Alexandria,Alexandria,20.0,10.0,4.07,2.04,09:00,16:00,09:00,16:00,False,False,False,False,False,False
