id,name,rating_score,city,reviews,price,usd,link,image
HTL-00001,610 residents,5.0,Cairo,2.0,1473.0,29.99,https://www.booking.com/hotel/eg/610-hostel.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gzWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCoIef0gbAAgHSAiQ1YjhhNjg4Zi1jNWRiLTQzNjctOGQ4YS1jN2Y1ZGQ4ZDA2NzfYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-03&checkout=2026-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=0ef96410f0fd000e&srepoch=1783088034&all_sr_blocks=458250302_431384637_6_1_0&highlighted_blocks=458250302_431384637_6_1_0&matching_block_id=458250302_431384637_6_1_0&sr_pri_blocks=458250302_431384637_6_1_0__3000&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/595508368.webp?k=2d2969b1ab1613c644f9cace24e16f27d124165c765e958b75e49399f5e20462&o=
HTL-00002,6th Of October El Salam Armed Forces Hotel,7.0,Qalyubia,1.0,1025.0,20.87,https://www.booking.com/hotel/eg/6th-of-october-el-salam-armed-forces-fndq-6.html?aid=304142&label=gen173nr-10CAQoggJCD3NlYXJjaF9xYWx5dWJpYUgzWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC0oef0gbAAgHSAiQ4MzI5M2NhYy05Y2RmLTRiMzktOThkOS03Mjc0NzM0YWZiMzDYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-03&checkout=2026-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=4bad642973710255&srepoch=1783088080&all_sr_blocks=1660892401_437981720_2_0_0&highlighted_blocks=1660892401_437981720_2_0_0&matching_block_id=1660892401_437981720_2_0_0&sr_pri_blocks=1660892401_437981720_2_0_0__2088&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/879621282.webp?k=af38c9c3dc49adf2c592af213706a9d231bae453df8249f90bfca295a340e224&o=
HTL-00003,Agora Cairo Hotel Downtown,9.7,Cairo,28.0,6259.0,127.45,https://www.booking.com/hotel/eg/agora-cairo-downtown.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gzWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCoIef0gbAAgHSAiQ1YjhhNjg4Zi1jNWRiLTQzNjctOGQ4YS1jN2Y1ZGQ4ZDA2NzfYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-03&checkout=2026-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=0ef96410f0fd000e&srepoch=1783088034&all_sr_blocks=1667324501_438550911_2_1_0&highlighted_blocks=1667324501_438550911_2_1_0&matching_block_id=1667324501_438550911_2_1_0&sr_pri_blocks=1667324501_438550911_2_1_0__12750&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/889225081.webp?k=b3c185b5f469916a990e9c050d60caa6f7cddb44a826b48e30467ac01b3e64f2&o=
HTL-00004,Akhet Cairo Suites,9.5,Cairo,2.0,6259.0,127.45,https://www.booking.com/hotel/eg/akhet-cairo-suites.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gzWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCoIef0gbAAgHSAiQ1YjhhNjg4Zi1jNWRiLTQzNjctOGQ4YS1jN2Y1ZGQ4ZDA2NzfYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-03&checkout=2026-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=0ef96410f0fd000e&srepoch=1783088034&all_sr_blocks=1675788201_439316975_2_1_0&highlighted_blocks=1675788201_439316975_2_1_0&matching_block_id=1675788201_439316975_2_1_0&sr_pri_blocks=1675788201_439316975_2_1_0__12750&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/890210342.webp?k=69a76af562b35b7db0b9c6f1d7cbbb8e14102017350c5f1afaf1b21dce56ae19&o=
HTL-00005,Al Fanar Azur Hotel,8.0,Sohag,236.0,2967.0,60.42,https://www.booking.com/hotel/eg/al-fanar-azur.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9zb2hhZ0gzWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC9oif0gbAAgHSAiRlMjBiYzVjZC1jZjg2LTQ2ZDAtOWE4MC0yNmE1YzQ2N2IzOWXYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-03&checkout=2026-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=d4b2647b5835009c&srepoch=1783088247&all_sr_blocks=1243719901_396284293_2_1_0&highlighted_blocks=1243719901_396284293_2_1_0&matching_block_id=1243719901_396284293_2_1_0&sr_pri_blocks=1243719901_396284293_2_1_0__6045&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/607075977.webp?k=6e9861e038400f0ca11773771d557835b9a3797c802b5d1c130a858e6a23cb0f&o=
HTL-00006,Al Sawy Station,1.0,Qalyubia,1.0,406.0,8.27,https://www.booking.com/hotel/eg/al-sawy-station.html?aid=304142&label=gen173nr-10CAQoggJCD3NlYXJjaF9xYWx5dWJpYUgzWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC0oef0gbAAgHSAiQ4MzI5M2NhYy05Y2RmLTRiMzktOThkOS03Mjc0NzM0YWZiMzDYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-03&checkout=2026-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=4bad642973710255&srepoch=1783088080&all_sr_blocks=1572544801_428302071_2_0_0&highlighted_blocks=1572544801_428302071_2_0_0&matching_block_id=1572544801_428302071_2_0_0&sr_pri_blocks=1572544801_428302071_2_0_0__828&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/815390461.webp?k=9f124ffeed73385b094ed921c7c3a367bfae460767a9aa146ef1de62488bd7c0&o=
HTL-00007,Al obour city,7.9,Qalyubia,12.0,3534.0,71.96,https://www.booking.com/hotel/eg/al-obour-city.html?aid=304142&label=gen173nr-10CAQoggJCD3NlYXJjaF9xYWx5dWJpYUgzWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC0oef0gbAAgHSAiQ4MzI5M2NhYy05Y2RmLTRiMzktOThkOS03Mjc0NzM0YWZiMzDYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-03&checkout=2026-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=4bad642973710255&srepoch=1783088080&all_sr_blocks=1162525601_388918700_7_0_0&highlighted_blocks=1162525601_388918700_7_0_0&matching_block_id=1162525601_388918700_7_0_0&sr_pri_blocks=1162525601_388918700_7_0_0__7200&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/532367083.webp?k=a4e16196908b76660061fac051eac6a030828a76f6b3bab26c8955d8fb09bc2a&o=
HTL-00008,Alex dream,4.9,Alexandria,13.0,6185.0,125.94,https://www.booking.com/hotel/eg/blue-alex-sidi-gaber.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9hbGV4YW5kcmlhSDNYBGhDiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALAh5_SBsACAdICJGQ1NTNiZDdjLWRiMjUtNGNjMy04YjVmLTFhZGMyMWQ1ZTg4YdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-07-03&checkout=2026-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=c69264207d8c01ce&srepoch=1783088066&all_sr_blocks=1208984607_438658649_6_0_0&highlighted_blocks=1208984607_438658649_6_0_0&matching_block_id=1208984607_438658649_6_0_0&sr_pri_blocks=1208984607_438658649_6_0_0__12600&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/881125751.webp?k=967a7a11bdb97871ef015cef2fce5ec1127ef9b63cb261fbed409011c50f2433&o=
HTL-00009,Alexandria Breath taking Apartment,9.5,Alexandria,4.0,1856.0,37.79,https://www.booking.com/hotel/eg/alexandria-breath-taking-apartment.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9hbGV4YW5kcmlhSDNYBGhDiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALAh5_SBsACAdICJGQ1NTNiZDdjLWRiMjUtNGNjMy04YjVmLTFhZGMyMWQ1ZTg4YdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-07-03&checkout=2026-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=c69264207d8c01ce&srepoch=1783088066&all_sr_blocks=1618187901_432656935_4_0_0&highlighted_blocks=1618187901_432656935_4_0_0&matching_block_id=1618187901_432656935_4_0_0&sr_pri_blocks=1618187901_432656935_4_0_0__3780&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/853070414.webp?k=c4ad5bbf2059846c37209617470e05d50709a9023efc3e254fd99b482587bcaa&o=
HTL-00010,Alfa Dardor,7.963716814159294,Qalyubia,513.4628099173553,88362.0,1799.27,https://www.booking.com/hotel/eg/alfa-dardor.html?aid=304142&label=gen173nr-10CAQoggJCD3NlYXJjaF9xYWx5dWJpYUgzWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC0oef0gbAAgHSAiQ4MzI5M2NhYy05Y2RmLTRiMzktOThkOS03Mjc0NzM0YWZiMzDYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-03&checkout=2026-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=4bad642973710255&srepoch=1783088080&all_sr_blocks=1610914201_432005820_34_0_0&highlighted_blocks=1610914201_432005820_34_0_0&matching_block_id=1610914201_432005820_34_0_0&sr_pri_blocks=1610914201_432005820_34_0_0__180000&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/846816247.webp?k=ae166b97508f2db6ba7254d9573ef45ee8460b42d8387a60cb77d592c9389011&o=
