id,name,government,rating,photo_url,maps_url
BCH-00001,Abu Dabbab beach,Red Sea,4.8,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFOqbhYrfiN2gyWZnNuTY0LMQaegx5fhRluxXxFn5fhs-4qHrWA35h3hIODX43JLrKwFhe9huFd3ZrQ7c0MxfNJOtQk7XmB-mBEYfipbEP3wGXvPWZqAlu5-P97TwifeAUKA4Dv=w408-h306-k-no,"https://www.google.com/maps/search/Abu+Dabbab+Beach,+Marsa+Alam?hl=en"
BCH-00002,Ageeba Beach,Matrouh,4.6,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGPjTVJ1dTRaNSbT5efbpt_dPNgi8-eAr-hbN59dPGW5Su8Tf3QbshfitFITH2xKNuIZbA1Z1SsVRC5yIK6l3ESOrn9lelW6gtZjTaaA_6xEgYk1jfm5Vp5WG2xMmyvGCZLzZAnKQ=w408-h306-k-no,"https://www.google.com/maps/place/Ageeba+Beach/@31.414321,27.0064276,17z/data=!3m1!4b1!4m6!3m5!1s0x1462060d7b0f1aef:0x799f52919280e6bc!8m2!3d31.414321!4d27.0064276!16s%2Fg%2F11cftyqff?hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D"
BCH-00003,Al-Nayzak,Red Sea,4.5,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEqt1gzOMV6cnuqA8gmp8JhLPA-s0GX1X-OZgtwRoT_wHagGHVQMuMhuZ_CwXQtOT3wr7Gu_BMdvuBfLVoSOeV46Qt4nMOZmsbmTEz12MLjYNW2mZqsopfTNVDMZ_P-CYPK4Bmw=w408-h382-k-no,"https://www.google.com/maps/search/Nayzak+Beach,+Marsa+Alam?hl=en"
BCH-00004,Almaza Bay,Matrouh,4.7,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGfA8RfB6UXNrhWUJmGGpDb3BEMm9ichkvn5o_EOwkoZeNLOPtn7OjbwqAnvFLNNsfwcs_SrICPi25EZ-6MFlz_H-7jmPNkPkb0nx_5-_vXDf_FuyhX3Yct-ZcoiUeaCxIi62T_ItGFceRf=w408-h264-k-no,"https://www.google.com/maps/place/Almaza+Bay/@31.1926975,27.5521193,15z/data=!4m13!1m2!2m1!1sAlmaza+Bay+Beach,+North+Coast!3m9!1s0x1461dd5499ee0129:0xf60e88238b6913d7!5m2!4m1!1i2!8m2!3d31.1956859!4d27.554789!15sCh1BbG1hemEgQmF5IEJlYWNoLCBOb3J0aCBDb2FzdJIBBWhvdGVs4AEA!16s%2Fg%2F11c48f8vhk?hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D"
BCH-00005,Aquarius Diving Club [Sharm el-Sheikh],South Sinai,4.8,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHMTkB_x1q29cHgpVJnT4Xak1EzleTYaxPysXI64cYou0NrOhWsLqTYN1mdjbUuZkvlvHfLPjCxj1Mg64y0aYSt8JMeqIfIvj6n4tfpFpsY5LMABNUIKJvxnLXKomPzoegpF3kK=w408-h306-k-no,"https://www.google.com/maps/place/Aquarius+Diving+Club+%5BSharm+el-Sheikh%5D/@27.9618123,34.3903156,14z/data=!4m9!1m2!2m1!1sShark's+Bay+Beach,+Sharm+El+Sheikh!3m5!1s0x145337c8d20820db:0x91f04a33dcdb7709!8m2!3d27.9734698!4d34.4249923!16s%2Fg%2F1tg3dwn7?hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D"
BCH-00006,Babylon faluka sailing boat,Aswan,5.0,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEWrAnaOAk3vLXMTT7cga6aVdVRr0bB6gA-MRxRkWR9_3o3C24nC5Kz32dQljTU_N9CzkS_-BgvL9W7468QP--PffE-g_qi5RyA1xBlMR-m3sZO_kbxVaESW_pos7R9Uu6KRnLpo_AvT2A=w408-h544-k-no,"https://www.google.com/maps/search/Elephantine+Island+Felucca+Sailing,+Aswan?hl=en"
BCH-00007,Burullus Lake,,4.4,https://lh3.googleusercontent.com/gps-cs-s/APNQkAElYBlzzBVeuH1m9QxVK8BePhCNzoOHtAwsg7kjSb6lMvujUXXuHGQGjDHvme5mvk_ZBfONozL0eM6hzDsSNK4qRCIy1OBFhhPi-SFZZuDh2LrIZ60VjucGfUjVj_JMsqcpPLj3=w427-h240-k-no,"https://www.google.com/maps/search/Burullus+Lake,+Kafr+El+Sheikh?hl=en"
BCH-00008,Castle Zaman slow-food restaurant,South Sinai,4.3,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFqkrt00T4GEQWTVY4ofdEQ2cuZJiK0CcxwgUD5iFAb4PC3DeKn9qxI8wMWNIw_rw8uZNAioPfwupVyenanvJLR-X9Wm9LVLc3fYy0OCe7SaTXUV5bUtBaHrYPzYJFW8aYE3Ix-wksD244=w408-h306-k-no,"https://www.google.com/maps/search/Castle+Zaman+Private+Beach,+Nuweiba?hl=en"
BCH-00009,Cleopatra Beach,Matrouh,4.3,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHMXGl9Wjs1TJlbXKSaAEPINrhs_4BKap8RYBV0A4WTvl6XMOYJY2EmLiPNjcJbUlV_DHZguYaHR7NfbFRmAFT0aSsfsoxBHhDQkOuc-ijneqSLpcB_RN8QQJQFLg_nj3itLYCB=w408-h306-k-no,"https://www.google.com/maps/search/Cleopatra+Beach,+Marsa+Matrouh?hl=en"
BCH-00010,Eel Garden,,4.497916666666666,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE-Ki94FpRZNV4tLTncDsp-RRc_qZ7eomRbSy8m-fy7c3XVxVU4iWbFMop_gAdS9LqIvFDNG_HfIPVA5s9yAoKlIVKiZpzxrjCI25cBuldtyRM3ruVcParH1HDcJFihz7YP-4xakA=w408-h306-k-no,"https://www.google.com/maps/search/Eel+Garden+Reef,+Dahab?hl=en"
